Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],BODC Station,Operator's Cruise Name,Cruise Report,Project Name,Ship Name,Period,Chief Scientist,GEOTRACES Scientist,PRESSURE [dbar],QV:IODE,DEPTH [m],QV:IODE,CTDTMP [deg C],QV:IODE,CTDSAL,QV:IODE,SALINITY_D_CONC_BOTTLE,QV:IODE,SALINITY_D_CONC_PUMP,QV:IODE,SALINITY_D_CONC_FISH,QV:IODE,SALINITY_D_CONC_UWAY,QV:IODE,NITRATE_D_CONC_BOTTLE [umol/kg],STANDARD_DEV,QV:IODE,NITRATE_D_CONC_PUMP [umol/kg],QV:IODE,NITRATE_D_CONC_FISH [umol/kg],QV:IODE,NITRATE_D_CONC_UWAY [umol/kg],QV:IODE,NITRATE_LL_D_CONC_BOTTLE [umol/kg],QV:IODE,NITRATE_LL_D_CONC_FISH [umol/kg],QV:IODE,NO2+NO3_D_CONC_BOTTLE [umol/kg],QV:IODE,NO2+NO3_D_CONC_FISH [umol/kg],QV:IODE,Fe_D_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_D_CONC_FISH [nmol/kg],STANDARD_DEV,QV:IODE,Fe_II_D_CONC_BOTTLE [nmol/kg],QV:IODE,Fe_II_D_CONC_FISH [nmol/kg],QV:IODE,Fe_S_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_S_CONC_FISH [nmol/kg],STANDARD_DEV,QV:IODE,QV:ODV:SAMPLE
GP02,BD03,B,2012-08-24T06:07:59,141.51601,37.5845,130,1875919,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,20.2,2,20,2,20.017,1,33.540001,1,33.589001,3,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD03,B,2012-08-24T06:07:59,141.51601,37.5845,130,1875919,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,30.2,2,30,2,16.743,1,33.749001,1,33.733002,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.097561,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD03,B,2012-08-24T06:07:59,141.51601,37.5845,130,1875919,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,50.4,2,50,2,14.112,1,33.918999,1,33.921001,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,2.117073,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD03,B,2012-08-24T06:07:59,141.51601,37.5845,130,1875919,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,74.6,2,74,2,12.188,1,34.056999,1,34.050999,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,6.790244,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD03,B,2012-08-24T06:07:59,141.51601,37.5845,130,1875919,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,99.8,2,99,2,10.964,1,34.122002,1,34.119999,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,9.043902,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD03,B,2012-08-24T06:07:59,141.51601,37.5845,130,1875919,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,126,2,125,2,9.267,1,33.964001,1,33.959999,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,10.253659,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,0,2,0,2,28.2,1,,9,34.056999,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.078049,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,10.1,2,10,2,27.984,1,34.075001,1,34.094002,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.029268,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,25.2,2,25,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,0.195122,,1,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,25.2,2,25,2,24.742,1,34.5,1,34.525002,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.029268,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
