Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron,Pressure,Ratio,Density
PS71/101,-42.3406,8.99454,3.6,10.987,34.02,14.35,0.35122,3.6,44.939781333637036,26.01924179509615
PS71/101,-42.3406,8.99454,6.1,11.178,34.042999,,,6.1,,26.002750393719452
PS71/101,-42.3406,8.99454,10.6,11.297,34.082001,,,10.7,,26.0113754541278
PS71/101,-42.3406,8.99454,23.5,12.553,34.562,,,23.7,,26.14516035594761
PS71/101,-42.3406,8.99454,23.5,12.531,34.563,,,23.7,,26.150229028625063
PS71/101,-42.3406,8.99454,23.8,11.129,34.043999,,,24.0,,26.012333675365426
PS71/101,-42.3406,8.99454,23.9,11.132,34.044998,,,24.1,,26.012566942529475
PS71/101,-42.3406,8.99454,24.3,12.544,34.562,,,24.5,,26.1469182832177
PS71/101,-42.3406,8.99454,24.4,12.569,34.562,,,24.6,,26.142031026900895
PS71/101,-42.3406,8.99454,24.4,12.569,34.562,,,24.6,,26.142031026900895
PS71/101,-42.3406,8.99454,24.5,11.134,34.044998,,,24.7,,26.01220608007884
PS71/101,-42.3406,8.99454,24.5,10.869,34.075001,13.09,0.234146,24.7,102.40191995592495,26.082854109425853
PS71/101,-42.3406,8.99454,24.7,12.502,34.563999,,,24.9,,26.156656189403748
PS71/101,-42.3406,8.99454,24.7,12.425,34.57,,,24.9,,26.17626824643571
PS71/101,-42.3406,8.99454,24.8,11.146,34.042999,,,25.0,,26.008494967271872
PS71/101,-42.3406,8.99454,24.8,12.564,34.562,,,25.0,,26.143008567813695
PS71/101,-42.3406,8.99454,25.1,11.144,34.042999,,,25.3,,26.008855222053626
PS71/101,-42.3406,8.99454,25.4,12.569,34.562,,,25.6,,26.142030085891747
PS71/101,-42.3406,8.99454,48.1,10.366,34.245998,11.42,0.263415,48.5,83.61184924636322,26.303683675408593
PS71/101,-42.3406,8.99454,48.1,10.368,34.196999,11.92,0.17561,48.5,125.41777386954485,26.265290174460688
PS71/101,-42.3406,8.99454,49.7,11.221,34.541,,,50.1,,26.380568096028128
PS71/101,-42.3406,8.99454,49.7,11.479,34.549,,,50.1,,26.339393613036464
PS71/101,-42.3406,8.99454,50.7,11.084,34.542,,,51.1,,26.406224069831296
PS71/101,-42.3406,8.99454,51.1,11.414,34.544998,,,51.5,,26.348293653318024
PS71/101,-42.3406,8.99454,74.9,10.706,34.66,,,75.5,,26.56543752635116
